iter	Logloss
0	0.6901175336
1	0.6873685656
2	0.684856948
3	0.6817073717
4	0.6786283066
5	0.6760902753
6	0.6738781626
7	0.6716186693
8	0.6685264719
9	0.6656124553
10	0.6631210585
11	0.6597174178
12	0.6565616485
13	0.6527797095
14	0.6498314446
15	0.6466326969
16	0.6436827159
17	0.6399833758
18	0.6381350861
19	0.6357207666
20	0.6330635004
21	0.6309510734
22	0.6277425512
23	0.6253535635
24	0.6232052093
25	0.6208770702
26	0.6184652876
27	0.6165882338
28	0.6135615112
29	0.611126859
30	0.6091583272
31	0.6081179694
32	0.6060252408
33	0.6042210486
34	0.601697418
35	0.5989174847
36	0.5960785309
37	0.593913351
38	0.5928657183
39	0.5906140596
40	0.5881641113
41	0.5857672144
42	0.5839249686
43	0.5815831376
44	0.579369458
45	0.5769816268
46	0.5751511701
47	0.5736751723
48	0.5722262597
49	0.5697903018
50	0.5678812755
51	0.5653274631
52	0.5634771215
53	0.5612959741
54	0.5600297938
55	0.5577356418
56	0.5559696526
57	0.5547456671
58	0.55328504
59	0.55186616
60	0.5501631831
61	0.5487867964
62	0.546624825
63	0.5454757904
64	0.5440872787
65	0.5422043304
66	0.5411351712
67	0.5395601591
68	0.5378117044
69	0.5367773158
70	0.5352316648
71	0.533633261
72	0.5317818375
73	0.5298038295
74	0.5281874808
75	0.5272668802
76	0.5252995795
77	0.5244825072
78	0.5240557464
79	0.5225947835
80	0.5212322006
81	0.519377979
82	0.5178662779
83	0.5162535479
84	0.5147407276
85	0.5140100969
86	0.5127265313
87	0.5116378976
88	0.5101380976
89	0.5090700576
90	0.5076539383
91	0.5067152809
92	0.5055374075
93	0.504432545
94	0.5029566964
95	0.5017277117
96	0.5008397925
97	0.4998474122
98	0.4985881338
99	0.4970527797
100	0.4960076092
101	0.4951299123
102	0.494221362
103	0.492946601
104	0.4922026515
105	0.490908416
106	0.4899675574
107	0.4894540565
108	0.488274952
109	0.4874283322
110	0.4864135674
111	0.485431484
112	0.4845351332
113	0.4832992467
114	0.4825518649
115	0.4814459205
116	0.4806176933
117	0.4800770326
118	0.4789933608
119	0.4779179712
120	0.4769317839
121	0.4757078358
122	0.4745884233
123	0.4739243493
124	0.472626868
125	0.4716993655
126	0.4707492546
127	0.4698766315
128	0.4687521452
129	0.4683428443
130	0.4675711753
131	0.467390383
132	0.4663928543
133	0.465879055
134	0.4648675732
135	0.4637926686
136	0.4630329381
137	0.4618539082
138	0.461182783
139	0.4605651942
140	0.4597488308
141	0.4592155942
142	0.4581228194
143	0.4574197217
144	0.4566635353
145	0.455800351
146	0.454940114
147	0.4540680877
148	0.4535055648
149	0.4526013049
150	0.4521883105
151	0.4514197008
152	0.4507270118
153	0.4499231465
154	0.4491600956
155	0.4485514978
156	0.4481340266
157	0.4473355708
158	0.4466024405
159	0.4460999454
160	0.4453764031
161	0.4446894969
162	0.4441365247
163	0.443631418
164	0.4427509976
165	0.4426921263
166	0.4417897691
167	0.4410781279
168	0.4406041731
169	0.439876042
170	0.4391849573
171	0.4384924922
172	0.4377420886
173	0.4372121724
174	0.4365184389
175	0.4358845466
176	0.4351146311
177	0.4344868573
178	0.4338518831
179	0.4333813606
180	0.4329572112
181	0.4324242732
182	0.4318792102
183	0.4313777596
184	0.4304621955
185	0.4299530224
186	0.4295040262
187	0.4292739134
188	0.4287767905
189	0.4281775197
190	0.4277443046
191	0.4272807213
192	0.4267636762
193	0.4262454746
194	0.4259854411
195	0.4252955503
196	0.4247489949
197	0.4242627659
198	0.4236622266
199	0.4229650234
200	0.4223151263
201	0.4216692583
202	0.4211743366
203	0.4208670345
204	0.4200677206
205	0.4194322988
206	0.4190330709
207	0.4186455203
208	0.4182160733
209	0.4176479542
210	0.416925755
211	0.4166866138
212	0.416325253
213	0.4157160957
214	0.4152102429
215	0.4146661498
216	0.4140321084
217	0.4135735242
218	0.4129969736
219	0.4125738689
220	0.4122032932
221	0.4116670721
222	0.4113051144
223	0.4106072771
224	0.4101349637
225	0.4095377075
226	0.4090952775
227	0.4086565409
228	0.4079337075
229	0.407257807
230	0.4066083575
231	0.4062465117
232	0.4057365551
233	0.4051645561
234	0.4046950781
235	0.4043760987
236	0.4036937067
237	0.403277765
238	0.4027848952
239	0.4024394648
240	0.4018307551
241	0.4011719415
242	0.4008105434
243	0.4001737412
244	0.399831743
245	0.3993238383
246	0.3986516685
247	0.3986173083
248	0.3981723787
249	0.3973482554
250	0.3966856363
251	0.3959387022
252	0.3955851761
253	0.3951946408
254	0.3948687969
255	0.394347163
256	0.3940177748
257	0.3936111973
258	0.392947086
259	0.3926523565
260	0.3921940335
261	0.3916516939
262	0.3911451323
263	0.3905376164
264	0.3901509239
265	0.3896004513
266	0.3893745542
267	0.3889360042
268	0.3885373359
269	0.3880606203
270	0.3877614885
271	0.3874154238
272	0.3871892656
273	0.3868264872
274	0.3864273339
275	0.3857762056
276	0.3851691374
277	0.3846150087
278	0.3842224961
279	0.3840162601
280	0.3837501455
281	0.3835014162
282	0.3832639911
283	0.3828626367
284	0.3825698472
285	0.381765273
286	0.3814152537
287	0.3807699827
288	0.3802815898
289	0.3799818984
290	0.3794629879
291	0.3792115725
292	0.3785530946
293	0.3779044286
294	0.3774887107
295	0.3771117181
296	0.3767985214
297	0.3764893166
298	0.3761912294
299	0.3755745733
300	0.3751787777
301	0.3748675956
302	0.3746055848
303	0.3740930912
304	0.3735608247
305	0.3732516199
306	0.3730704918
307	0.3724955828
308	0.3719852904
309	0.3714680215
310	0.3709735475
311	0.3706077098
312	0.370114355
313	0.3697818703
314	0.3693673091
315	0.3691378677
316	0.3687648671
317	0.3684358146
318	0.3680166272
319	0.3678653079
