iter	Passed	Remaining
0	3	606
1	5	533
2	7	500
3	10	490
4	13	532
5	16	522
6	20	556
7	23	566
8	28	604
9	31	592
10	33	574
11	35	559
12	37	545
13	40	533
14	42	522
15	46	530
16	49	536
17	52	527
18	54	518
19	56	509
20	58	501
21	63	510
22	65	504
23	67	496
24	69	489
25	72	482
26	74	477
27	77	474
28	80	476
29	83	470
30	85	464
31	87	459
32	90	457
33	92	452
34	95	452
35	98	448
36	100	443
37	102	439
38	105	434
39	107	430
40	109	425
41	113	427
42	116	424
43	118	419
44	120	415
45	122	411
46	125	407
47	127	403
48	131	403
49	133	400
50	135	396
51	137	392
52	140	388
53	142	384
54	145	382
55	148	381
56	152	381
57	154	379
58	157	376
59	159	373
60	163	371
61	165	369
62	168	365
63	170	361
64	172	358
65	174	354
66	177	351
67	181	352
68	183	349
69	186	345
70	188	342
71	190	338
72	192	335
73	195	333
74	199	332
75	201	328
76	203	325
77	206	322
78	208	319
79	211	316
80	214	314
81	217	312
82	219	309
83	221	306
84	224	303
85	226	300
86	228	297
87	232	296
88	235	293
89	238	291
90	240	288
91	242	284
92	244	281
93	247	279
94	250	277
95	253	274
96	255	271
97	257	268
98	259	265
99	262	262
100	265	259
101	268	257
102	270	254
103	272	251
104	274	248
105	277	245
106	279	242
107	282	240
108	284	237
109	286	234
110	289	232
111	291	229
112	294	226
113	296	223
114	299	221
115	302	218
116	304	216
117	306	213
118	309	210
119	311	207
120	314	205
121	318	203
122	320	200
123	322	197
124	325	195
125	327	192
126	329	189
127	332	187
128	335	184
129	338	182
130	340	179
131	342	176
132	345	173
133	347	171
134	350	168
135	353	166
136	355	163
137	357	160
138	360	157
139	362	155
140	364	152
141	367	150
142	370	147
143	372	144
144	375	142
145	377	139
146	379	136
147	381	134
148	385	131
149	387	129
150	390	126
151	392	123
152	394	121
153	396	118
154	399	115
155	404	114
156	427	116
157	429	114
158	431	111
159	434	108
160	438	106
161	440	103
162	443	100
163	445	97
164	447	95
165	450	92
166	453	89
167	456	86
168	458	84
169	460	81
170	463	78
171	466	75
172	469	73
173	472	70
174	475	67
175	477	65
176	479	62
177	482	59
178	484	56
179	487	54
180	490	51
181	492	48
182	494	45
183	497	43
184	499	40
185	501	37
186	505	35
187	507	32
188	509	29
189	511	26
190	514	24
191	516	21
192	518	18
193	523	16
194	525	13
195	528	10
196	530	8
197	532	5
198	534	2
199	537	0
